30.00  	30.00  	30.00  	30.00  	30.00  	30.00  	30.00  	30.00  	30.00  	30.00  	
30.00  	15.00  	11.25  	10.31  	10.08  	10.02  	10.00  	10.00  	10.00  	30.00  	
30.00  	11.25  	5.62  	3.98  	3.52  	3.38  	3.35  	3.34  	3.33  	30.00  	
30.00  	10.31  	3.98  	1.99  	1.38  	1.19  	1.13  	1.12  	1.11  	30.00  	
30.00  	10.08  	3.52  	1.38  	0.69  	0.47  	0.40  	0.38  	0.37  	30.00  	
30.00  	10.02  	3.38  	1.19  	0.47  	0.23  	0.16  	0.13  	0.13  	30.00  	
30.00  	10.00  	3.35  	1.13  	0.40  	0.16  	0.08  	0.05  	0.05  	30.00  	
30.00  	10.00  	3.34  	1.12  	0.38  	0.13  	0.05  	0.03  	0.02  	30.00  	
30.00  	10.00  	3.33  	1.11  	0.37  	0.13  	0.05  	0.02  	0.01  	30.00  	
30.00  	30.00  	30.00  	30.00  	30.00  	30.00  	30.00  	30.00  	30.00  	30.00  	
